id,name,brand,price,currency,has_discount,promocode,discount_value,price_after_sale,discount_amount,url,img,scraped_at,country
16188197,Toothpaste Cinnamon Orange,BEN&ANNA,3.7,gbp/£,False,,0,3.7,0.0,/benanna/toothpaste-cinnamon-orange-natural-toothpaste/,/benanna/4260491223067_01-o__230331.jpg,2024-05-08 11:05:49,uk
16137200,Spiderman Travel Kit,Marvel,3.5,gbp/£,False,,0,3.5,0.0,/marvel/spiderman-travel-kit-dental-care-set-for-kids/,/marvel/8032979436902_01__220725.jpg,2024-05-08 11:05:49,uk
16022005,Max White White Crystals,Colgate,3.1,gbp/£,False,,0,3.1,0.0,/colgate/max-white-white-crystals-whitening-toothpaste-with-fluoride/,/colgate/8718951312845_01-o__200403.jpg,2024-05-08 11:05:49,uk
16189648,Dinosaur,Brush Baby,3.2,gbp/£,False,,0,3.2,0.0,/brush-baby/dinosaur-toothpaste-for-children-from-36-months/,/brush_baby/5060178100464_01-o__230613.jpg,2024-05-08 11:05:49,uk
16187465,Micellar,White Glo,6.0,gbp/£,False,,0,6.0,0.0,/white-glo/micellar-dental-care-set/,/white-glo/9319871001391_01-o__230606.jpg,2024-05-08 11:05:49,uk
16188195,Toothpaste Coco Mania,BEN&ANNA,3.8,gbp/£,False,,0,3.8,0.0,/benanna/toothpaste-coco-mania-natural-toothpaste/,/benanna/4260491223043_01-o__230331.jpg,2024-05-08 11:05:49,uk
16109369,KIDS Raspberry,MEDIBLANC,6.6,gbp/£,True,20promo,20,5.28,1.32,/mediblanc/kids-rapsberry-toothpaste-for-children/,/mediblanc/8059300533123_01-o__220114.jpg,2024-05-08 11:05:49,uk
542877,Menthol,Eva,3.4,gbp/£,False,,0,3.4,0.0,/eva/menthol-whitening-tooth-powder-3-in-1/,/eva/6223001385356_01-o__211115.jpg,2024-05-08 11:05:49,uk
16097837,Boys,Pink Elephant,1.0,gbp/£,False,,0,1.0,0.0,/pink-elephant/boys-toothpaste-for-kids/,/pink_elephant/8588006040906_01__230116.jpg,2024-05-08 11:05:49,uk
16191073,Gift Sets Great Aquamarine,HAAN,19.8,gbp/£,False,,0,19.8,0.0,/haan/gift-sets-great-aquamarine-gift-set-6877842/,/haan/5060917123525_01-o__230619.jpg,2024-05-08 11:05:49,uk
16148485,Set Splat Duo,Splat,10.7,gbp/£,False,,0,10.7,0.0,/splat/set-duo-setfor-teeth/,/splat/7640168937140_01__220927.jpg,2024-05-08 11:05:49,uk
16132904,Toothpaste 6-24 months,Chicco,4.2,gbp/£,False,,0,4.2,0.0,/chicco/toothpaste-6-24-months-toothpaste-for-children/,/chicco/8003670743637_01-o__220624.jpg,2024-05-08 11:05:49,uk
16077188,Sensitive Forte,White Glo,6.0,gbp/£,True,teeth,15,5.1,0.9,/white-glo/sensitive-forte-dental-care-set/,/white-glo/9319871000653_01-o__210524.jpg,2024-05-08 11:05:49,uk
16088621,Natural Toothpaste Charcoal,The Humble Co.,7.6,gbp/£,False,,0,7.6,0.0,/humble/natural-toothpaste-charcoal-organic-toothpaste/,/humble/7350075693212_01-o__210816.jpg,2024-05-08 11:05:49,uk
16144267,Travel Kit,Minions,3.3,gbp/£,False,,0,3.3,0.0,/minions/travel-kit-dental-care-set-3yfor-kids/,/minions/8032979437992_01-o__220902.jpg,2024-05-08 11:05:49,uk
16090057,Natural Toothpaste Tablets,The Humble Co.,6.9,gbp/£,False,,0,6.9,0.0,/the-humble-co/pastilles/,/humble/7350075691904_01-o__210816.jpg,2024-05-08 11:05:49,uk
16148927,Unicorn Sparkle 7+,Beverly Hills Formula,6.5,gbp/£,False,,0,6.5,0.0,/beverly-hills-formula/unicorn-sparkle-7-toothpaste-for-children/,/beverly-hills-formula/5020105004098_01-o__220912.jpg,2024-05-08 11:05:49,uk
16151046,System PAP Whitening,White Pearl,54.0,gbp/£,True,teeth,15,45.9,8.1,/white-pearl/system-pap-whitening-whitening-gel/,/white-pearl/8594069333213_01-o__221116.jpg,2024-05-08 11:05:49,uk
16208482,Toothpaste Coconut Whip,My White Secret,6.7,gbp/£,True,teeth,15,5.7,1.0,/my-white-secret/toothpaste-coconut-whip-toothpaste/,/my-white-secret/5060548390556_01-o__230913.jpg,2024-05-08 11:05:49,uk
16142462,Professional Enamel Regeneration,Oral B,4.6,gbp/£,True,teeth,15,3.91,0.69,/oral-b/professional-regenerate-enamel-gentle-whitening-whitening-toothpaste/,/oral-b/8001090247582_01-o__220817.jpg,2024-05-08 11:05:49,uk
598843,Junior 6+,G.U.M,3.4,gbp/£,False,,0,3.4,0.0,/gum/junior-tooth-gel-for-kids/,/gum/070942304160_01-o__220905.jpg,2024-05-08 11:05:49,uk
16159033,Gift Sets Great Coral,HAAN,34.2,gbp/£,True,15promo,15,29.07,5.13,/haan/gift-sets-great-coral-gift-set/,/haan/5060669781004_01-o__221122.jpg,2024-05-08 11:05:49,uk
534205,Herbal Fresh,Signal,1.7,gbp/£,True,teeth,15,1.44,0.26,/signal/herbal-fresh-toothpaste/,/signal/sighrfu_ktps05__150511.jpg,2024-05-08 11:05:49,uk
15726086,Toothpaste Classic Mint,My White Secret,10.4,gbp/£,True,teeth,15,8.84,1.56,/my-white-secret/toothpaste-cosmetic-set-i/,/my-white-secret/5060548390020_01-ox__180821.jpg,2024-05-08 11:05:49,uk
16194259,CBD Aloe Vera,White Pearl,7.2,gbp/£,False,,0,7.2,0.0,/white-pearl/cbd-aloe-vera-toothpaste/,/white-pearl/8594069333312_01-o__230725.jpg,2024-05-08 11:05:49,uk
16124326,Kids,Masha & The Bear,2.4,gbp/£,False,,0,2.4,0.0,/masha-the-bear/kids-toothpaste-for-children-with-strawberry-flavour/,/masha_the_bear/8029241134000_01__220428.jpg,2024-05-08 11:05:49,uk
16139600,Charcoal,Blend-a-med,2.5,gbp/£,False,,0,2.5,0.0,/blend-a-med/charcoal-toothpaste-with-activated-charcoal/,/blend-a-med/8001841825519_01-o__220816.jpg,2024-05-08 11:05:49,uk
16230822,Up White Advanced Whitening,Perl Weiss,5.0,gbp/£,True,15promo,15,4.25,0.75,/perl-weiss/up-white-advanced-whitening-whitening-toothpaste/,/perl_weiss/4008890009512_01__240304.jpg,2024-05-08 11:05:49,uk
16214577,Toothpaste Mild Mint,Chicco,3.5,gbp/£,False,,0,3.5,0.0,/chicco/toothpaste-mild-mint-toothpaste-for-children-with-fluoride/,/chicco/8058664138708_01__231124.jpg,2024-05-08 11:05:49,uk
